nomeEntidade,ano,descricaoPrograma,descricao,objetivo,descricaoOrgao,descricaoUnidade,descricaoFuncao,descricaoSubfuncao,idAcao,descricaoAcao,natureza,idDespesa,numeroElemento,descricaoElemento,descricaoLocalizador,categoriaEconomica,valorOrcado,valorOrcadoAlterado,valorOrcadoAtualizado,valorEmpenhado,valorEmpenhadoAtualizado,valorLiquidado,valorLiquidadoAtualizado,valorALiquidar,valorPago,valorPagoAnulado,valorPagoAtualizado,valorAPagarEmpenhado,valorAPagarLiquidado,"percentualEmpenhadoSobreOrcadoInicial","percentualEmpenhadoSobreOrcadoAtualizado","percentualLiquidadoSobreOrcadoInicial","percentualLiquidadoSobreOrcadoAtualizado","percentualPagoSobreOrcadoInicial","percentualPagoSobreOrcadoAtualizado",fontesRecursos,informacaoPlanejamento,empenhos,suplementacoes,descricaoRecurso
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2026,"MAIS CULTURA CRICIÚMA","Fundo de Incentivo a Cultura","Incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais, artísticas e turísticas no município de Criciúma. Visa também a salvaguarda e a valorização do patrimônio histórico-cultural da cidade, por meio da gestão e dinamização de seus espaços de cultura, memória e museus.","FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural",1091,"Fundo de Incentivo a Cultura","APLICAÇÕES DIRETAS",3,33900000000000,"APLICAÇÕES DIRETAS","FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",1900000,0,1900000,94074.87,71833.22,46158.04,46158.04,25675.18,41209.12,0,41209.12,30624.1,4948.92,4.95,4.95,2.43,2.43,2.17,4610.63,"fontesRecursos_555810e1-166b-47ce-bc6a-86e7d24fdc2f.csv","informacaoPlanejamento_5ae4cebb-02d1-464a-b276-1f0bf57e3479.csv","empenhos_a7448312-e28a-4d84-9d84-55509190e102.csv"," ","Recursos não Vinculados de Impostos"
"FUNDACAO CULTURAL DE CRICIUMA",2026,"MAIS CULTURA CRICIÚMA","Desenvolvimento Artistico e Cultural","Incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais, artísticas e turísticas no município de Criciúma. Visa também a salvaguarda e a valorização do patrimônio histórico-cultural da cidade, por meio da gestão e dinamização de seus espaços de cultura, memória e museus.","FUNDAÇÃO CULTURAL DE CRICIÚMA","Fundação Cultural de Criciúma",Cultura,"Patrimônio Histórico, Artístico e Arqueológico",1089,"Desenvolvimento Artistico e Cultural","APLICAÇÕES DIRETAS",6,33900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",1000000,497000,1497000,46865.0,44365.0,44365.0,44365.0,0.0,44365.0,0,44365.0,0.0,0.0,4.69,3.13,4.44,2.96,4.44,3374.28,"fontesRecursos_c48da868-a8a7-4a8e-958f-f200876e305a.csv","informacaoPlanejamento_02b099b6-1e71-43bd-9a5e-007e0f6307d7.csv","empenhos_a180a4a1-78bd-4517-96f6-06416342e611.csv","suplementacoes_273da0e1-67ec-45cb-be75-2b6be6989261.csv","Outras Transferências de Convênios ou Instrumentos Congêneres da União"
"FUNDACAO CULTURAL DE CRICIUMA",2026,"MAIS CULTURA CRICIÚMA","Unidades Culturais","Incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais, artísticas e turísticas no município de Criciúma. Visa também a salvaguarda e a valorização do patrimônio histórico-cultural da cidade, por meio da gestão e dinamização de seus espaços de cultura, memória e museus.","FUNDAÇÃO CULTURAL DE CRICIÚMA","Fundação Cultural de Criciúma",Cultura,"Difusão Cultural",1090,"Unidades Culturais","APLICAÇÕES DIRETAS",8,33900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",150000,0,150000,47003.6,42845.0,31713.7,31713.7,11131.3,26713.7,0,26713.7,16131.3,5000.0,31.34,31.34,21.14,21.14,17.81,561.51,"fontesRecursos_b7420bae-d6a5-40dd-a569-6263d2248a6e.csv","informacaoPlanejamento_68d2a9c9-a72c-4cef-9fc9-0dae8a16e085.csv","empenhos_ee41463b-adf2-44c6-881a-7a3a194bc2f2.csv"," ","Recursos não Vinculados de Impostos"
"FUNDACAO CULTURAL DE CRICIUMA",2026,"MAIS CULTURA CRICIÚMA","Manut. da Fundação Cultural","Incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais, artísticas e turísticas no município de Criciúma. Visa também a salvaguarda e a valorização do patrimônio histórico-cultural da cidade, por meio da gestão e dinamização de seus espaços de cultura, memória e museus.","FUNDAÇÃO CULTURAL DE CRICIÚMA","Fundação Cultural de Criciúma",Cultura,"Administração Geral",1088,"Manut. da Fundação Cultural","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS",2,33600000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",100000,0,100000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_3b75bc97-803a-454a-8fec-d543876d5583.csv","informacaoPlanejamento_33683054-b9a3-4170-a0fb-f81704447049.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2026,"MAIS CULTURA CRICIÚMA","Unidades Culturais","Incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais, artísticas e turísticas no município de Criciúma. Visa também a salvaguarda e a valorização do patrimônio histórico-cultural da cidade, por meio da gestão e dinamização de seus espaços de cultura, memória e museus.","FUNDAÇÃO CULTURAL DE CRICIÚMA","Fundação Cultural de Criciúma",Cultura,"Difusão Cultural",1090,"Unidades Culturais","APLICAÇÕES DIRETAS",9,44900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS DE CAPITAL",150000,0,150000,9870.0,9870.0,9870.0,9870.0,0.0,9870.0,0,9870.0,0.0,0.0,6.58,6.58,6.58,6.58,6.58,1519.76,"fontesRecursos_05bd9af1-d650-4850-8bfa-0928cde186cb.csv","informacaoPlanejamento_b1104a0f-091d-42c0-9e07-e604132c4090.csv","empenhos_64efca4f-1543-438e-977a-288154362731.csv"," "," "
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2026,"CRICIÚMA MAIS SOLIDARIEDADE","Manut. da Proteção Social Especial - SUAS","Promover a proteção social, garantindo a atenção integral a indivíduos e famílias em situação de vulnerabilidade ou risco social, por meio de ações de assistência básica e especial. Fortalecer os serviços, programas, projetos e benefícios socioassistenciais no âmbito do SUAS (Sistema Único de Assistência Social). Desenvolver políticas públicas de habitação social, viabilizando moradia digna à população de baixa renda, por meio da gestão do Fundo Municipal de Habitação e Interesse Social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1068,"Manut. da Proteção Social Especial - SUAS","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS",14,44500000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS DE CAPITAL",200000,1810000,2010000,1890000.0,1884218.87,1900000.0,1794218.87,90000.0,1900000.0,105781.13,1794218.87,90000.0,0.0,945.0,94.03,950.0,94.53,950.0,105.79,"fontesRecursos_95e96c5b-ff1a-4e56-aefb-6232843e0b4a.csv","informacaoPlanejamento_1137c433-0840-41f3-98f3-e66cacb50b37.csv","empenhos_f7d4700e-2e48-4981-bcaf-249239e66ca7.csv","suplementacoes_1a2240eb-8415-4964-a97e-4828bd9607e7.csv","Transf. de Recursos do Fundo Nacional de Assistência Social - FNAS"
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2026,"CRICIÚMA MAIS SOLIDARIEDADE","Manut. da Proteção Social Especial - SUAS","Promover a proteção social, garantindo a atenção integral a indivíduos e famílias em situação de vulnerabilidade ou risco social, por meio de ações de assistência básica e especial. Fortalecer os serviços, programas, projetos e benefícios socioassistenciais no âmbito do SUAS (Sistema Único de Assistência Social). Desenvolver políticas públicas de habitação social, viabilizando moradia digna à população de baixa renda, por meio da gestão do Fundo Municipal de Habitação e Interesse Social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1068,"Manut. da Proteção Social Especial - SUAS","APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL",11,31910000000000,"APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS CORRENTES",500000,160000,660000,1211267.94,650000.0,321626.12,321626.12,328373.88,321626.12,0,321626.12,328373.88,0.0,242.25,183.53,64.33,48.73,64.33,205.21,"fontesRecursos_1ae9b869-0faa-4616-a1e1-8b27d8b7fc7f.csv","informacaoPlanejamento_cd211672-5438-4441-aeca-b68c0308b50d.csv","empenhos_8e02fa8d-a9f4-4ca8-89a3-83b0025cc242.csv","suplementacoes_c632c528-b76d-4652-9316-2cefcdb2cc94.csv","Recursos não Vinculados de Impostos"
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2026,"CRICIÚMA MAIS SOLIDARIEDADE","Manut. da Proteção Social Básica - SUAS","Promover a proteção social, garantindo a atenção integral a indivíduos e famílias em situação de vulnerabilidade ou risco social, por meio de ações de assistência básica e especial. Fortalecer os serviços, programas, projetos e benefícios socioassistenciais no âmbito do SUAS (Sistema Único de Assistência Social). Desenvolver políticas públicas de habitação social, viabilizando moradia digna à população de baixa renda, por meio da gestão do Fundo Municipal de Habitação e Interesse Social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1067,"Manut. da Proteção Social Básica - SUAS","APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL",5,31910000000000,"APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DA SEGURIDADE SOCIAL","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS CORRENTES",650000,200000,850000,850000.0,850000.0,384742.11,384742.11,465257.89,384742.11,0,384742.11,465257.89,0.0,130.77,100.0,59.19,45.26,59.19,220.93,"fontesRecursos_92df8716-a09f-4b34-a4a2-ba09d73c8547.csv","informacaoPlanejamento_615f974a-a1ee-4b68-b450-6377be1aa7a8.csv","empenhos_c82fa426-feb2-4052-b199-f0c7c8498bd4.csv","suplementacoes_68b774e4-d21d-4010-a11e-b8f1f8450335.csv","Recursos não Vinculados de Impostos"
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2026,"CRICIÚMA MAIS SOLIDARIEDADE","Manut. da Proteção Social Básica - SUAS","Promover a proteção social, garantindo a atenção integral a indivíduos e famílias em situação de vulnerabilidade ou risco social, por meio de ações de assistência básica e especial. Fortalecer os serviços, programas, projetos e benefícios socioassistenciais no âmbito do SUAS (Sistema Único de Assistência Social). Desenvolver políticas públicas de habitação social, viabilizando moradia digna à população de baixa renda, por meio da gestão do Fundo Municipal de Habitação e Interesse Social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1067,"Manut. da Proteção Social Básica - SUAS","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS",8,44500000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS DE CAPITAL",500000,56066.55,556066.55,538601.22,523601.22,523601.22,523601.22,0.0,523601.22,0,523601.22,0.0,0.0,107.72,96.86,104.72,94.16,104.72,106.2,"fontesRecursos_61e17c9b-b259-4691-abbf-7fbadae4788b.csv","informacaoPlanejamento_db91cd4d-3ff5-4b7e-8de3-96d8d22fc154.csv","empenhos_9c7e2620-2fdd-4195-a87f-8263b165e775.csv","suplementacoes_a4d18c3f-2385-4993-b5e9-d8221177483e.csv","Transf. de Recursos do Fundo Nacional de Assistência Social - FNAS"
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2026,"CRICIÚMA MAIS SOLIDARIEDADE","Manut. da Proteção Social Básica - SUAS","Promover a proteção social, garantindo a atenção integral a indivíduos e famílias em situação de vulnerabilidade ou risco social, por meio de ações de assistência básica e especial. Fortalecer os serviços, programas, projetos e benefícios socioassistenciais no âmbito do SUAS (Sistema Único de Assistência Social). Desenvolver políticas públicas de habitação social, viabilizando moradia digna à população de baixa renda, por meio da gestão do Fundo Municipal de Habitação e Interesse Social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1067,"Manut. da Proteção Social Básica - SUAS","APLICAÇÕES DIRETAS",9,44900000000000,"APLICAÇÕES DIRETAS","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS DE CAPITAL",200000,-35150,164850,246662.62,160514.62,121649.16,121649.16,38865.46,32543.41,0,32543.41,127971.21,89105.75,123.33,149.63,60.82,73.79,16.27,506.55,"fontesRecursos_258970c7-6754-4d88-bcba-29683db012f3.csv","informacaoPlanejamento_f5842a63-e60e-4943-a731-fcd617bb8e33.csv","empenhos_cecc5c0c-d6d5-4930-aa20-3feef9e16558.csv","suplementacoes_d80166e7-f3d7-474a-b041-4e0261f4e01f.csv","Transf. de Recursos do Fundo Nacional de Assistência Social - FNAS"
