anoExercicio,descricaoFuncao,registros,valor_empenhado,mediana,participacao_percentual
2024,Administração,4758,261832617.16,2016.6950000000002,16.755486424677994
2024,Agricultura,53,1209926.06,6867.66,0.07742694509601841
2024,Assistência Social,117,12482127.549999999,35496.0,0.7987703021251967
2024,Ciência e Tecnologia,30,766566.52,239.37,0.04905498428266427
2024,Comércio e Serviços,1,599995.2,599995.2,0.0383955656003265
2024,Cultura,209,10325789.57,16500.0,0.6607795042528711
2024,Desporto e Lazer,141,34385137.72,44896.79,2.2004122883058423
2024,Direitos da Cidadania,66,1307386.91,5502.085,0.083663769090008
2024,Educação,1546,400874486.15,11053.45,25.65320960979272
2024,Gestão Ambiental,158,49387179.69,10550.0,3.160439779522416
2024,Judiciária,91,6329178.59,8753.84,0.4050238931053566
2024,Saneamento,79,13456080.65,59375.0,0.8610966009734065
2024,Saúde,5811,444668531.75,881.89,28.45572728116491
2024,Segurança Pública,646,16214714.95,4417.91,1.0376302202972958
2024,Urbanismo,1320,308828237.11,19771.55,19.76288283171298
2025,Administração,4576,251499522.5,2259.8999999999996,16.260739169281305
2025,Agricultura,45,1813772.65,8655.24,0.11726974143271444
2025,Assistência Social,727,35997383.66,8879.23,2.327416213968393
2025,Ciência e Tecnologia,28,40551.08,170.97,0.0026218361305742027
2025,Comércio e Serviços,2,158273.13,79136.565,0.010233172846026982
2025,Cultura,200,8727846.38,5792.325,0.5643002105291712
2025,Desporto e Lazer,607,31480231.05,1882.17,2.0353590376807196
2025,Direitos da Cidadania,53,1240172.59,10000.0,0.080183543930514
2025,Educação,1552,454893257.94,11834.755000000001,29.411191495311652
2025,Gestão Ambiental,177,32898067.400000002,4358.84,2.1270294585344045
2025,Habitação,55,1101947.87,2000.0,0.07124660402571979
2025,Judiciária,83,5238748.93,18411.13,0.33871209407199376
2025,Saneamento,63,12761890.75,23398.44,0.825121951444714
2025,Saúde,6868,412450548.56,908.575,26.667051784804688
2025,Segurança Pública,648,24151503.55,5736.565,1.5615190671883739
2025,Urbanismo,1030,272213502.2,21744.9,17.600004618819035
