anoExercicio,mes,registros,valor_empenhado,mediana,participacao_percentual
2024,1,1925,612712316.07,19443.57,39.20937355131121
2024,2,1072,78992213.32000001,3077.46,5.054958287071373
2024,3,1118,93583891.32,2780.555,5.988725306987267
2024,4,1314,100397485.44,1584.99,6.424748461853271
2024,5,1094,80651363.45,1333.7849999999999,5.161132482560278
2024,6,1229,75602016.74,1540.0,4.838009026168297
2024,7,1262,111840795.74,2922.0,7.157041605712658
2024,8,1352,93692483.32,1577.42,5.99567444801318
2024,9,1110,74797333.31,1079.925,4.786514821841228
2024,10,1193,57009845.25,1654.77,3.648237941171592
2024,11,1183,85682320.23,2000.0,5.4830791099314595
2024,12,1174,97705891.39,4226.15,6.252504957378196
2025,1,2208,616669859.81,11567.1,39.870881838066616
2025,2,1475,83191295.16,1998.02,5.37874560676931
2025,3,1207,79338591.75,2159.05,5.129648492691844
2025,4,1258,68277227.94,1596.5,4.4144743643952875
2025,5,1329,83884233.18,1587.61,5.423547617889224
2025,6,1416,92555985.91,1881.7849999999999,5.984221085104388
2025,7,1436,102146331.52,4258.389999999999,6.604286312096904
2025,8,1252,92510835.51,2218.29,5.98130187925266
2025,9,1356,85216860.53,2160.935,5.509708838128521
2025,10,1508,77422338.36,2899.975,5.00575284371684
2025,11,1160,67742777.02,2103.165,4.379919360383689
2025,12,1109,97710883.55,3500.0,6.317511761504713
