nomeEntidade,anoCadastro,anoExercicio,dataEmpenho,licitacao,numeroEmpenho,idElemento,descricaoOrgao,historicoEmpenho,tipoEmpenho,mascaraElemento,descricaoElemento,credor,valorEmpenho,valorLiquidadoEmpenho,valorPagoEmpenho,saldoAPagar,categoriaEmpenho,numeroControleProcesso,modalidadeAplicacao,idRecurso,descricaoRecurso,tipoRecurso,finalidade,tipoPoderOrgao,descricaoUnidade,descricaoFuncao,descricaoSubfuncao,descricaoPrograma,idProjetoAtividade,descricaoProjetoAtividade,descricaoAplicacaoRecurso,grupoElemento,descricaoDetalhamentoElemento,valorEmpenhado,ValorAnuladoEmpenho,valorPagoRestosEmpenho,valorRestosAPagarNaoProcessados,valorRestosAPagarProcessados,valorRestosAPagarCancelados,saldoALiquidar,saldoAPagarLiquidado,contrato,anulacoes,itens,liquidacoes,pagamentos,dotacaoOrcamentaria,convenio,documentosFiscais,parcelas,documentosRelacionados,linhas_acao,orcado_acao,orcado_atualizado_acao,empenhado_acao,liquidado_acao,pago_acao,periodo_referencia
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-01-02,licitacao_17bfe4c1-1bb7-484d-b6cc-cb92235d0710.csv,7,10722260,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços publicitários, referente ao Lote 03 - da Fundação Cultural do município de Criciúma/SC. Cfe. termos do contrato n 003/2023, de 30/05/2023.",Ordinário,33903988000000,Serviços de Publicidade e Propaganda,credor_23b60392-4860-4f07-9eeb-8184ac256590.csv,100000.0,35968.73,35968.73,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,100000.0,64031.27,0.0,0.0,0.0,0.0,0.0,0.0,contrato_4437f5c8-9cac-4aa3-bb4d-1ae8a9faf269.csv,anulacoes_175dc8c7-894e-4f67-90fa-14b30551ddd9.csv, ,liquidacoes_b6d75cc5-eff7-42ce-9a70-c6014f5e0d39.csv,pagamentos_5d1d3365-5ad8-4950-97ca-289b380fac2f.csv,dotacaoOrcamentaria_882debc6-e8a7-48c4-88c0-ed14340e6b19.csv, ,documentosFiscais_76c46481-2f57-429c-a229-7e3b5cc76bc3.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-01-03, ,17,10721703,FUNDAÇÃO MUN. DE CULTURA,"Parcela 01 a 12 - Ref. transferência de recursos financeiros para gerenciar, fomentar e executar os serviços de administração, conservação e organização de atividades esportivas e culturais na Pracinha da Cultura do Município de Criciúma/SC. Cfe. termo aditivo 01 do Termo de Colaboração 2689/2023, de 02/01/2023.",Ordinário,33504302000000,Transf a Instituições Privadas de Assistência Soc,credor_eaff6d90-b4bd-4c88-9653-6dac40ff2e7a.csv,420000.0,363712.64,363712.64,0.0,CONVENIO, ,Transferências a Instituições Privadas sem Fins Lucrativos,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,"Patrimônio Histórico, Artístico e Arqueológico",CULTURA PARA TODOS,1089,Desenvolvimento Artistico e Cultural, ,OUTRAS DESPESAS CORRENTES,Subvenções Sociais,420000.0,56287.36,0.0,0.0,0.0,0.0,0.0,0.0, ,anulacoes_b5fd73d8-0f9a-48b2-a3c3-104239a6abb2.csv, ,liquidacoes_1f8ca8aa-18be-4b7e-ba94-2cd13df2c065.csv,pagamentos_2c8b352d-46b2-4406-91f1-cfc0b5aaccca.csv,dotacaoOrcamentaria_1dbacccb-48e8-4bbf-8287-02bfcf7a39db.csv,convenio_3803cc48-226e-4660-8abf-c525fc947c5b.csv,documentosFiscais_cc6edbe3-abce-4bd2-afcc-62f9e00a5711.csv, , ,8.0,3600000.0,4258588.859999999,3371240.7800000003,1957082.18,1957082.18,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-01-02, ,10,10722222,FUNDAÇÃO MUN. DE CULTURA,"Ref. fornecimento de água para o ano de 2024, de acordo com a solicitação do memorando n 001/CGM/2024. Cfe. Doc. Anexo.",Estimativo,33903944000000,Serviços de Água e Esgoto,credor_22243c8b-c2a9-4e80-b7a1-f672887d4393.csv,200000.0,73932.96,73932.96,0.0,CREDOR, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,200000.0,126067.04,2937.74,0.0,2937.74,0.0,0.0,2937.74, ,anulacoes_44eaffd3-05da-4d1c-afed-9d296dcd6e62.csv, ,liquidacoes_8a7881b0-885e-4f31-9545-7b58bc9ef531.csv,pagamentos_502d8639-49ae-43fd-9444-cd9a5a1bef49.csv,dotacaoOrcamentaria_56f0d3e6-ab32-48d3-bac8-74e35e58ad4d.csv, ,documentosFiscais_6d6e61f0-b997-46a1-8c4d-b2769494aacd.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-01-03,licitacao_adf4fe78-bf48-436f-a27f-d2247bf3d15e.csv,15,10722199,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços de locação, incluindo montagem e desmontagem de estruturas para eventos, em atendimento a Fundação Cultural do município de Criciúma/SC. Cfe. termo aditivo 01 do contrato n 008/2022, de 03/11/2022.",Ordinário,33903914000000,Locação de Bens Móveis e Outras Naturezas Intang,credor_35d24bba-6770-412f-ba27-56481c30b3ec.csv,321149.99,41719.9,41719.9,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,321149.99,279430.09,0.0,0.0,0.0,0.0,0.0,0.0,contrato_42e7013f-c91c-4d15-a99f-c5b63161b429.csv,anulacoes_f5eb82eb-e426-4937-9911-e84114e9a6b1.csv, ,liquidacoes_c39af87d-3683-454a-8d28-bb98072e24cb.csv,pagamentos_56164ba4-adb6-4bc1-b3c9-975cb4b70d03.csv,dotacaoOrcamentaria_c69b70b6-c6f0-4fb5-92b6-4f8f300c2d61.csv, ,documentosFiscais_bae84b85-c7fc-4df7-baa2-3d5d134b0d89.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-01-02, ,9,10722221,FUNDAÇÃO MUN. DE CULTURA,"Ref. fornecimento de energia elétrica para o ano de 2024, de acordo com a solicitação do memorando n 001/CGM/2024. Cfe. Doc. Anexo.",Estimativo,33903943000000,Serviços de Energia Elétrica,credor_2b980455-8bea-4325-9e5c-99de57a5612c.csv,100000.0,52018.41,52018.41,0.0,CREDOR, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,100000.0,47981.59,5288.04,0.0,5288.04,0.0,0.0,5288.04, ,anulacoes_5a24c0de-d77d-40f3-9656-c1c0df3c92c1.csv, ,liquidacoes_02a925fc-46af-4e9e-97be-c773d68f7f38.csv,pagamentos_af31b546-724d-4574-aabc-3f18382ff24e.csv,dotacaoOrcamentaria_b50363bb-d1b7-41be-a5ad-26e591cf9477.csv, ,documentosFiscais_d6b9f9df-b2e2-46b8-8927-225503afa1ac.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-10-07,licitacao_16255309-8427-4917-82b0-95b5bfdac7f0.csv,55,10722260,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços publicitários, referente ao Lote 03 - da Fundação Cultural do município de Criciúma/SC. Cfe. termo aditivo 02 do contrato n 003/2023, de 30/05/2023.",Ordinário,33903988000000,Serviços de Publicidade e Propaganda,credor_d3fe3b1f-5241-4bea-94d2-a4a01c0c6f73.csv,350000.0,65742.37,65742.37,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,350000.0,284257.63,6400.0,0.0,6400.0,0.0,0.0,6400.0,contrato_64c9dcf5-a105-47f9-a895-3f9b7a7eddac.csv,anulacoes_a37aaadb-5aff-47bb-bfac-e5c3609e1329.csv, ,liquidacoes_0db14de9-8bfa-4a53-8806-02754d09e3be.csv,pagamentos_9069e5f3-d64e-4362-947e-f868b59f018c.csv,dotacaoOrcamentaria_e98cd584-4b3c-4f72-93aa-7a8732e08687.csv, ,documentosFiscais_8c449d41-f7f5-4f22-a971-549926bedb44.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-11-13,licitacao_7320aaf7-0301-40ba-96cb-8c2fa3007e3a.csv,69,10722199,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços de locação, incluindo montagem e desmontagem de estruturas para eventos, em atendimento ao município de Criciúma/SC. Cfe. termo aditivo 02 do contrato n 006/2022, de 26/10/2022.",Ordinário,33903914000000,Locação de Bens Móveis e Outras Naturezas Intang,credor_c5637d14-2488-4bb4-9c9a-8b20643eeb1c.csv,300000.0,184763.12,184763.12,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,300000.0,115236.88,0.0,0.0,0.0,0.0,0.0,0.0,contrato_39703217-9975-43f4-ba09-947cdf38a061.csv,anulacoes_87bac921-2f66-48da-b11e-2b4d33dd5563.csv, ,liquidacoes_22d8552c-ea03-45ee-894b-4c655a791aed.csv,pagamentos_d2052b41-fe1e-4317-82d3-0f196993875d.csv,dotacaoOrcamentaria_965b8357-c751-403e-9ec8-0cf0ead9a7b5.csv, ,documentosFiscais_37bad2dc-aeac-4288-892c-20165560b796.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-11-13,licitacao_456355ea-e0a2-48bb-a4a7-217be39e891e.csv,70,10722199,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços de locação, incluindo montagem e desmontagem de estruturas para eventos, em atendimento a Fundação Cultural do município de Criciúma/SC. Cfe. termo aditivo 02 do contrato n 008/2022, de 03/11/2022.",Ordinário,33903914000000,Locação de Bens Móveis e Outras Naturezas Intang,credor_373921dd-a494-4922-8e64-e48806c078c9.csv,250000.0,195189.38,195189.38,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,Administração Geral,CULTURA PARA TODOS,1088,Manut. da Fundação Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,250000.0,54810.62,58890.53,0.0,58890.53,0.0,0.0,58890.53,contrato_979a73ed-cf3d-4a59-9ce1-3a3d24c580da.csv,anulacoes_5cb34d7e-8cd9-420d-be1d-9fd781a0687b.csv, ,liquidacoes_34159ad3-7a62-42c8-893c-1c1fd36a0b86.csv,pagamentos_c98ec5a7-159c-4e55-9f1e-5805614657fe.csv,dotacaoOrcamentaria_3109adcf-0d6c-425c-9a71-55d82910920d.csv, ,documentosFiscais_fcb997ec-411a-4401-bc27-fd6e3a789537.csv, , ,8.0,5600000.0,5600000.0,2141005.26,2133664.2,1964322.0,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-11-06,licitacao_fb499a90-df09-425a-8351-044e2e7fc036.csv,67,10722266,FUNDAÇÃO MUN. DE CULTURA,"Contratação de empresa especializada para a locação dos materiais e insumos, além da execução dos serviços de montagem, instalação, manutenção e desmontagem da decoração e iluminação natalina nos parques, praças e vias públicas do município de Criciúma. Cfe. termos do contrato n 16/2024, de 06/11/2024.",Ordinário,33903999000000,Outros Serviços de Terceiros - Pessoa Jurídica,credor_10af0c61-f3e9-41fb-afd9-559f7412c72c.csv,705000.0,705000.0,705000.0,0.0,PROCESSO, ,Aplicações Diretas,150000000100,Recursos Ordinários,Ordinário, ,Executivo,Fundação Mun. de Cultura,Cultura,"Patrimônio Histórico, Artístico e Arqueológico",CULTURA PARA TODOS,1089,Desenvolvimento Artistico e Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,705000.0,0.0,705000.0,705000.0,0.0,0.0,0.0,705000.0,contrato_9b207aa1-0a41-428d-bfa2-0e85a9a4e7d4.csv, , ,liquidacoes_8b09f735-907a-4a7e-a363-22f92ec45ea7.csv,pagamentos_2a363576-5a3e-4f72-8bba-b2f98a110e0b.csv,dotacaoOrcamentaria_370ab5d6-888b-4dbb-8356-57c0ae3a8847.csv, ,documentosFiscais_62b6a125-8979-42d8-b64c-bf5af0af52d4.csv, , ,8.0,3600000.0,4258588.859999999,3371240.7800000003,1957082.18,1957082.18,Geral
FUNDACAO CULTURAL DE CRICIUMA,2024,2024,2024-12-06,licitacao_1256e932-4b1b-4cb8-a0ca-a92030290eb9.csv,74,10722191,FUNDAÇÃO MUN. DE CULTURA,"Prestação de serviços de assessoria referente a planejamento, consultoria, gestão, acompanhamento e prestação de contas para implementação a aplicação da Lei Complementar 14.399/2022, Política Nacional Aldir Blanc de Fomento à Cultura, para o município de Criciúma/SC. Cfe. termo de apostilamento 01 do contrato n 7/2024, de 08/10/2024.",Ordinário,33903905000000,Serviços Técnicos Profissionais,credor_dc550b25-6559-4196-a78b-c252644ec875.csv,59980.0,59980.0,59980.0,0.0,PROCESSO, ,Aplicações Diretas,171900000719,Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei n 14.399/2022,vinculado, ,Executivo,Fundação Mun. de Cultura,Cultura,"Patrimônio Histórico, Artístico e Arqueológico",CULTURA PARA TODOS,1089,Desenvolvimento Artistico e Cultural, ,OUTRAS DESPESAS CORRENTES,Outros Serviços de Terceiros - Pessoa Jurídica,59980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contrato_f5c5d89e-837b-4933-a9f7-fc51700ce23f.csv, , ,liquidacoes_c5652b61-fdca-4797-b264-1967d348f070.csv,pagamentos_818a5560-4f20-48e8-9eae-f5d66202839c.csv,dotacaoOrcamentaria_f13a4ef9-6ee4-4369-9659-05ada7567b23.csv, ,documentosFiscais_75cc1165-8944-4d73-9884-cc35fa59985c.csv, , ,8.0,3600000.0,4258588.859999999,3371240.7800000003,1957082.18,1957082.18,Geral
